URL,Nível 1,Nível 2,Nível 3,Nível 4,Nível 5,Nível 6,Nível 7,Nível 8,Nível 9
https://www.isel.pt/concurso/nao-docentes/ts-srei,concurso,nao-docentes,ts-srei,,,,,,
https://www.isel.pt/concurso/nao-docentes/ts-srei-2023,concurso,nao-docentes,ts-srei-2023,,,,,,
https://www.isel.pt/concurso/nao-docentes/ts-ssogi-2025,concurso,nao-docentes,ts-ssogi-2025,,,,,,
https://www.isel.pt/concurso/professor-adjunto/DM-calculo-variacoes-eq-diferenciais-sistemas-dinamicos,concurso,professor-adjunto,DM-calculo-variacoes-eq-diferenciais-sistemas-dinamicos,,,,,,
https://www.isel.pt/concurso/professor-adjunto/algebra-geometria-aplicacoes,concurso,professor-adjunto,algebra-geometria-aplicacoes,,,,,,
https://www.isel.pt/concurso/professor-adjunto/bioengenharia-aplicada-biomedica,concurso,professor-adjunto,bioengenharia-aplicada-biomedica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/climatizacao-e-refrigeracao,concurso,professor-adjunto,climatizacao-e-refrigeracao,,,,,,
https://www.isel.pt/concurso/professor-adjunto/computadores,concurso,professor-adjunto,computadores,,,,,,
https://www.isel.pt/concurso/professor-adjunto/dec-pa-hidraulica,concurso,professor-adjunto,dec-pa-hidraulica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deea_automacao,concurso,professor-adjunto,deea_automacao,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deetc-3pa-eng-informatica,concurso,professor-adjunto,deetc-3pa-eng-informatica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deetc-eng-informatica,concurso,professor-adjunto,deetc-eng-informatica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deetc-eng-informatica-2024,concurso,professor-adjunto,deetc-eng-informatica-2024,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deetc-pa-eletronica,concurso,professor-adjunto,deetc-pa-eletronica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deetc-redes-computadores-2024,concurso,professor-adjunto,deetc-redes-computadores-2024,,,,,,
https://www.isel.pt/concurso/professor-adjunto/dem-economia-e-gestao,concurso,professor-adjunto,dem-economia-e-gestao,,,,,,
https://www.isel.pt/concurso/professor-adjunto/dem-projeto-mecainico-manutencao,concurso,professor-adjunto,dem-projeto-mecainico-manutencao,,,,,,
https://www.isel.pt/concurso/professor-adjunto/dem-ttse-2024,concurso,professor-adjunto,dem-ttse-2024,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deq-eng-biomedica,concurso,professor-adjunto,deq-eng-biomedica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/deq-eng-quim-2024,concurso,professor-adjunto,deq-eng-quim-2024,,,,,,
https://www.isel.pt/concurso/professor-adjunto/df-fisica-materia-condensada-materiais-2024,concurso,professor-adjunto,df-fisica-materia-condensada-materiais-2024,,,,,,
https://www.isel.pt/concurso/professor-adjunto/df-geofisica,concurso,professor-adjunto,df-geofisica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/df-geofisica-sismologia,concurso,professor-adjunto,df-geofisica-sismologia,,,,,,
https://www.isel.pt/concurso/professor-adjunto/dm-estatistica-analise-estocastica,concurso,professor-adjunto,dm-estatistica-analise-estocastica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/eletronica,concurso,professor-adjunto,eletronica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/engenharia-informatica,concurso,professor-adjunto,engenharia-informatica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/engenharia-informatica-2022,concurso,professor-adjunto,engenharia-informatica-2022,,,,,,
https://www.isel.pt/concurso/professor-adjunto/estatistica-investigacao-operacional,concurso,professor-adjunto,estatistica-investigacao-operacional,,,,,,
https://www.isel.pt/concurso/professor-adjunto/gestao-operacoes,concurso,professor-adjunto,gestao-operacoes,,,,,,
https://www.isel.pt/concurso/professor-adjunto/informatica,concurso,professor-adjunto,informatica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/maquinas-termicas,concurso,professor-adjunto,maquinas-termicas,,,,,,
https://www.isel.pt/concurso/professor-adjunto/mecanica-c,concurso,professor-adjunto,mecanica-c,,,,,,
https://www.isel.pt/concurso/professor-adjunto/multimedia,concurso,professor-adjunto,multimedia,,,,,,
https://www.isel.pt/concurso/professor-adjunto/multimedia-informatica,concurso,professor-adjunto,multimedia-informatica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/organica,concurso,professor-adjunto,organica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/projeto-mecanico-2019,concurso,professor-adjunto,projeto-mecanico-2019,,,,,,
https://www.isel.pt/concurso/professor-adjunto/projeto-mecanico-2020,concurso,professor-adjunto,projeto-mecanico-2020,,,,,,
https://www.isel.pt/concurso/professor-adjunto/projeto-mecanico-manutencao,concurso,professor-adjunto,projeto-mecanico-manutencao,,,,,,
https://www.isel.pt/concurso/professor-adjunto/projeto-mecanico-tecnologia-mecanica,concurso,professor-adjunto,projeto-mecanico-tecnologia-mecanica,,,,,,
https://www.isel.pt/concurso/professor-adjunto/redes-computadores,concurso,professor-adjunto,redes-computadores,,,,,,
https://www.isel.pt/concurso/professor-adjunto/redes-computadores-2023,concurso,professor-adjunto,redes-computadores-2023,,,,,,
https://www.isel.pt/concurso/professor-adjunto/refrigeracao-e-climatizacao,concurso,professor-adjunto,refrigeracao-e-climatizacao,,,,,,
https://www.isel.pt/concurso/professor-adjunto/tecnologia-mecanica-a,concurso,professor-adjunto,tecnologia-mecanica-a,,,,,,
https://www.isel.pt/concurso/professor-adjunto/tecnologia-mecanica-b,concurso,professor-adjunto,tecnologia-mecanica-b,,,,,,
https://www.isel.pt/concurso/professor-adjunto/tecnologia-mecanica-materiais,concurso,professor-adjunto,tecnologia-mecanica-materiais,,,,,,
https://www.isel.pt/concurso/professor-coordenador-principal/eng-mecanica,concurso,professor-coordenador-principal,eng-mecanica,,,,,,
https://www.isel.pt/concurso/professor-coordenador-principal/fisica,concurso,professor-coordenador-principal,fisica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/analise-matem%C3%A1tica-e-analise-numerica,concurso,professor-coordenador,analise-matem%C3%A1tica-e-analise-numerica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/analise-matemática-e-analise-numerica,concurso,professor-coordenador,analise-matemática-e-analise-numerica,,,,,,
https://www.isel.pt/concurso/professor-coordenador/controlo-de-sistemas-e-sistemas-eletromecanicos,concurso,professor-coordenador,controlo-de-sistemas-e-sistemas-eletromecanicos,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dec-estruturas,concurso,professor-coordenador,dec-estruturas,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dec-estruturas-2023,concurso,professor-coordenador,dec-estruturas-2023,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dec-tecnologia-construcao,concurso,professor-coordenador,dec-tecnologia-construcao,,,,,,
https://www.isel.pt/concurso/professor-coordenador/dec-transportes,concurso,professor-coordenador,dec-transportes,,,,,,
https://www.isel.pt/concurso/professor-coordenador/deea-instalacoes-eletricas,concurso,professor-coordenador,deea-instalacoes-eletricas,,,,,,
